순번,종목코드,종목명,전일종가,당일종가,당일채용주식수,전일상장주식수,"채용주식수반영
시가비중"
,KR7031430002,신세계인터내셔날,"148,500",0,"3,284,400","7,140,000",0.039
,KR7032350001,롯데관광개발,"17,150",0,"36,023,344","69,275,662",0.05
,KR7032640005,LG유플러스,"14,150",0,"279,431,271","436,611,361",0.318
,KR7032830002,삼성생명,"68,500",0,"84,000,000","200,000,000",0.463
,KR7033780008,KT&G,"83,900",0,"104,342,297","137,292,497",0.704
,KR7034020008,두산중공업,"20,750",0,"296,924,899","520,920,876",0.496
,KR7034220004,LG디스플레이,"23,000",0,"225,423,891","357,815,700",0.417
,KR7034730002,SK,"255,500",0,"36,333,171","74,149,329",0.747
,KR7035250000,강원랜드,"24,150",0,"126,224,895","213,940,500",0.245
,KR7035420009,NAVER,"384,500",0,"134,520,249","164,049,085",4.161
,KR7035720002,카카오,"113,500",0,"316,507,262","445,784,877",2.89
,KR7036460004,한국가스공사,"39,600",0,"38,771,460","92,313,000",0.124
,KR7036570000,엔씨소프트,"656,000",0,"18,660,918","21,954,022",0.985
,KR7039490008,키움증권,"109,000",0,"13,896,341","26,219,513",0.122
,KR7042660001,대우조선해양,"22,650",0,"46,134,987","107,290,669",0.084
,KR7042670000,현대두산인프라코어,"6,770",0,"136,229,848","197,434,563",0.074
,KR7047040001,대우건설,"5,820",0,"199,498,866","415,622,638",0.093
,KR7047050000,포스코인터내셔널,"22,800",0,"45,648,805","123,375,149",0.084
,KR7047810007,한국항공우주,"31,850",0,"70,182,077","97,475,107",0.18
,KR7049770001,동원F&B,"198,000",0,"1,119,146","3,859,124",0.018
,KR7051600005,한전KPS,"39,100",0,"22,050,000","45,000,000",0.069
,KR7051900009,LG생활건강,"1,132,000",0,"9,370,918","15,618,197",0.853
,KR7051910008,LG화학,"632,000",0,"45,885,023","70,592,343",2.333
,KR7052690005,한전기술,"86,100",0,"12,994,800","38,220,000",0.09
,KR7055550008,신한지주,"38,150",0,"408,113,647","516,599,554",1.252
,KR7057050007,현대홈쇼핑,"65,800",0,"6,840,000","12,000,000",0.036
,KR7064350002,현대로템,"20,400",0,"73,125,336","109,142,293",0.12
,KR7064960008,SNT모티브,"49,200",0,"8,042,724","14,623,136",0.032
,KR7066570003,LG전자,"138,000",0,"108,007,557","163,647,814",1.199
,KR7068270008,셀트리온,"216,000",0,"108,323,297","137,947,128",1.882
,KR7069260008,휴켐스,"24,000",0,"21,665,651","40,878,588",0.042
,KR7069620003,대웅제약,"147,500",0,"4,518,764","11,586,575",0.054
,KR7069960003,현대백화점,"74,700",0,"14,275,489","23,402,441",0.086
,KR7071050009,한국금융지주,"85,500",0,"40,679,974","55,725,992",0.28
,KR7073240004,금호타이어,"4,560",0,"157,993,157","287,260,287",0.058
,KR7078930005,GS,"41,500",0,"44,599,381","92,915,378",0.149
,KR7079160008,CJ CGV,"25,100",0,"23,529,922","37,951,488",0.048
